iter	Passed	Remaining
398	97519	635710
399	97712	635132
400	98081	635692
401	98286	635193
402	98483	634644
403	98684	634119
404	98927	633866
405	99124	633320
406	99318	632760
407	99515	632218
408	99723	631747
409	99916	631178
410	100120	630684
411	100321	630174
412	100507	629572
413	100692	628962
414	100872	628324
415	101067	627786
416	101333	627684
417	101589	627521
418	101817	627187
419	102036	626796
420	102330	626866
421	102545	626452
422	102794	626241
423	103032	625972
424	103274	625719
425	103562	625751
426	103830	625658
427	104760	629540
428	105331	631251
429	105892	632890
430	106507	634841
431	107032	636246
432	107556	637639
433	107867	637759
434	108599	640360
435	109020	641122
436	109419	641743
437	109651	641386
438	109938	641350
439	110251	641463
440	110532	641390
441	110786	641156
442	111053	641001
443	111324	640868
444	111591	640712
445	111881	640686
446	112221	640943
447	112597	641406
448	112813	640952
449	113044	640588
450	113344	640607
451	113616	640474
452	113862	640195
453	114163	640222
454	114701	641572
455	114931	641195
456	115167	640855
457	115519	641157
458	115729	640672
459	115930	640137
460	116134	639623
461	116369	639277
462	116584	638822
463	116795	638348
464	117037	638044
465	117310	637906
466	117520	637428
467	117862	637664
468	118137	637537
469	118532	638059
470	118857	638197
471	119275	638829
472	119762	639829
473	120114	640103
474	120356	639791
475	120574	639347
476	120805	638978
477	121021	638528
478	121258	638189
479	121475	637747
480	121677	637224
481	122224	638508
482	122486	638301
483	122800	638360
484	123070	638188
485	123298	637805
486	123725	638445
487	124165	639149
488	124501	639310
489	124763	639095
490	124972	638605
491	125192	638176
492	125421	637790
493	125636	637338
494	125868	636968
495	126070	636453
496	126294	636045
497	126495	635526
498	126683	634941
499	126964	634823
500	127175	634355
501	127397	633941
502	127606	633467
503	127831	633071
504	128047	632632
505	128258	632167
506	128464	631681
507	128679	631239
508	128965	631145
509	129277	631178
510	129575	631141
511	129891	631191
512	130120	630817
513	130567	631501
514	130819	631233
515	131039	630820
516	131258	630397
517	131565	630398
518	131838	630233
519	132040	629730
520	132239	629217
521	132436	628693
522	132660	628298
523	132853	627758
524	133067	627315
525	133454	627694
526	133640	627120
527	133911	626946
528	134133	626549
529	134319	625979
530	134520	625481
531	134728	625020
532	134969	624709
533	135202	624362
534	135467	624162
535	135686	623751
536	135922	623420
537	136160	623100
538	136374	622667
539	136592	622255
540	136795	621774
541	137023	621407
542	137239	620987
543	137462	620602
544	137687	620227
545	137887	619733
546	138074	619187
547	138466	619561
548	138673	619106
549	138889	618691
550	139111	618302
551	139315	617834
552	139510	617326
553	139719	616882
554	139952	616547
555	140160	616101
556	140347	615565
557	140651	615537
558	141069	616011
559	141255	615471
560	141449	614964
561	141646	614475
562	141833	613938
563	142018	613397
564	142327	613395
565	142649	613442
566	142876	613085
567	143069	612578
568	143446	612862
569	143699	612612
570	143883	612070
571	144078	611576
572	144278	611104
573	144482	610652
574	144744	610443
575	144935	609936
576	145144	609507
577	145373	609158
578	145606	608830
579	145854	608564
580	146113	608343
581	146374	608134
582	146701	608194
583	147060	608388
584	147367	608361
585	147584	607968
586	147805	607588
587	148132	607645
588	148340	607213
589	148566	606857
590	148980	607266
591	149303	607304
592	149551	607033
593	149788	606720
594	150072	606595
595	150446	606833
596	150788	606943
597	151053	606741
598	151283	606396
599	151551	606204
600	151826	606041
601	152186	606217
602	152551	606410
603	152814	606199
604	153061	605920
605	153315	605673
606	153541	605310
607	153773	604978
608	153999	604619
609	154252	604368
610	154491	604060
611	154664	603495
612	154857	603009
613	155073	602615
614	155308	602294
615	155501	601809
616	155695	601331
617	155893	600871
618	156096	600427
619	156302	599999
620	156520	599618
621	156727	599192
622	156933	598763
623	157144	598356
624	157349	597928
625	157707	598078
626	157990	597944
627	158180	597458
628	158379	597006
629	158570	596527
630	158769	596077
631	158953	595574
632	159150	595118
633	159384	594800
634	159580	594342
635	159769	593858
636	160067	593783
637	160331	593577
638	160531	593135
639	160736	592716
640	160916	592204
641	161092	591677
642	161299	591263
643	161495	590812
644	161683	590334
645	161885	589905
646	162100	589526
647	162290	589052
648	162528	588757
649	162738	588360
650	162947	587960
651	163209	587756
652	163689	588329
653	163881	587866
654	164077	587420
655	164301	587076
656	164482	586580
657	164710	586248
658	164925	585874
659	165144	585511
660	165359	585136
661	165567	584738
662	165773	584333
663	165958	583852
664	166149	583395
665	166338	582934
666	166522	582454
667	166731	582062
668	166936	581658
669	167173	581363
670	167406	581057
671	167590	580582
672	167791	580164
673	167998	579769
674	168204	579372
675	168430	579041
676	168613	578566
677	168843	578251
678	169066	577913
679	169377	577875
680	169571	577439
681	169799	577117
682	170048	576869
683	170247	576451
684	170435	575998
685	170642	575608
686	170840	575187
687	171023	574717
688	171244	574378
689	171432	573927
690	171890	574377
691	172108	574027
692	172286	573541
693	172464	573058
694	172663	572645
695	172900	572360
696	173080	571887
697	173279	571474
698	173526	571223
699	173716	570781
700	173922	570397
701	174170	570147
702	174445	569986
703	174663	569641
704	174879	569287
705	175089	568918
706	175313	568592
707	175496	568133
708	175710	567775
709	175899	567336
710	176103	566950
711	176356	566717
712	176618	566517
713	176819	566118
714	177022	565730
715	177219	565319
716	177444	565001
717	177649	564618
718	177836	564180
719	178009	563696
720	178226	563353
721	178430	562969
722	178881	563363
723	179072	562941
724	179254	562487
725	179482	562182
726	179681	561783
727	179942	561579
728	180205	561379
729	180447	561117
730	180638	560695
731	180870	560401
732	181087	560061
733	181290	559679
734	181459	559192
735	181666	558822
736	181866	558431
737	182089	558113
738	182286	557711
739	182508	557391
740	182714	557021
741	182963	556782
742	183175	556429
743	183441	556242
744	183803	556343
745	183987	555909
746	184213	555598
747	184409	555200
748	184592	554764
749	184809	554428
750	184994	553997
751	185208	553653
752	185419	553302
753	185695	553146
754	185990	553044
755	186185	552644
756	186433	552404
757	186618	551976
758	186829	551626
759	187032	551253
760	187225	550850
761	187446	550532
762	187621	550076
763	187831	549727
764	188014	549296
765	188318	549222
766	188501	548793
767	188720	548469
768	188900	548031
769	189087	547616
770	189269	547188
771	189477	546834
772	189675	546452
773	189876	546078
774	190067	545677
775	190286	545357
776	190483	544973
777	190712	544682
778	190932	544365
779	191196	544173
780	191449	543950
781	191653	543591
782	192064	543815
783	192250	543400
784	192457	543048
785	192683	542750
786	192965	542607
787	193193	542314
788	193388	541928
789	193589	541561
790	193833	541313
791	194042	540967
792	194262	540652
793	194453	540258
794	194671	539937
795	194885	539607
796	195137	539382
797	195345	539035
798	195554	538692
799	195792	538428
800	195976	538017
