iter	Logloss
0	0.6643663034
1	0.6389245535
2	0.6156761803
3	0.5941229397
4	0.5746317038
5	0.5571844485
6	0.5414998348
7	0.5274459245
8	0.5142749545
9	0.5025640388
10	0.4917758686
11	0.4825123157
12	0.4738931567
13	0.4659058281
14	0.4582914142
15	0.4510103342
16	0.4448613196
17	0.4393123391
18	0.4335900928
19	0.4290756427
20	0.4249092481
21	0.4207489212
22	0.417152145
23	0.4135085521
24	0.4104121574
25	0.4074892655
26	0.4050267073
27	0.4026619509
28	0.4004641412
29	0.3982307297
30	0.3960453555
31	0.3940746628
32	0.3924317137
33	0.3908402692
34	0.3894657316
35	0.3881494327
36	0.386724892
37	0.3854178042
38	0.3842523029
39	0.3832284145
40	0.3820949382
41	0.3811373099
42	0.3802460993
43	0.3793917868
44	0.3785766566
45	0.3778126348
46	0.3771316052
47	0.3765166615
48	0.3759407473
49	0.3753061698
50	0.3747396576
51	0.3741811771
52	0.3737249388
53	0.3733133183
54	0.3729110199
55	0.3724641429
56	0.3721568851
57	0.3717436742
58	0.3714265161
59	0.3711001624
60	0.3707244904
61	0.3703992742
62	0.3700525106
63	0.3697361125
64	0.369443982
65	0.3692323151
66	0.3690516161
67	0.3688064796
68	0.3686373511
69	0.3683944449
70	0.3681495755
71	0.367969536
72	0.3677494541
73	0.3676093991
74	0.3674631059
75	0.367262651
76	0.3670724086
77	0.3669082474
78	0.3667547489
79	0.3666044412
80	0.3664705377
81	0.3663136225
82	0.3661710385
83	0.3660641685
84	0.365926557
85	0.3658128088
86	0.3656923149
87	0.3655881011
88	0.3655001324
89	0.3653853999
90	0.3652474033
91	0.3651219402
92	0.3650454754
93	0.3649533963
94	0.3648633768
95	0.3647930467
96	0.3647109513
97	0.3646309482
98	0.3645369492
99	0.3644516529
100	0.3643829628
101	0.3642644884
102	0.3641754879
103	0.3641096149
104	0.3640416039
105	0.3639881244
106	0.3639116251
107	0.3638558247
108	0.3637976764
109	0.3637506578
110	0.3636750573
111	0.3636057627
112	0.3635436737
