iter	Logloss
0	0.6609414219
1	0.6320212316
2	0.6062542665
3	0.5827225208
4	0.562259871
5	0.5440254048
6	0.5272559044
7	0.512481117
8	0.4987471046
9	0.4871278405
10	0.4757164313
11	0.4666715223
12	0.458263643
13	0.4509580874
14	0.4442100412
15	0.4379091708
16	0.4321552122
17	0.4269260095
18	0.4220813461
19	0.4180934404
20	0.4141753919
21	0.410770849
22	0.4075074248
23	0.4046486112
24	0.4020111177
25	0.3994536002
26	0.3970821805
27	0.3949359214
28	0.3930235392
29	0.3909688012
30	0.3891848735
31	0.3875500453
32	0.3859308445
33	0.3846452545
34	0.3833420465
35	0.3821399337
36	0.3811320619
37	0.3802264426
38	0.37933713
39	0.3785061053
40	0.3776265416
41	0.3768501082
42	0.3761228324
43	0.3754883081
44	0.3749648086
45	0.374330785
46	0.373724753
47	0.3732001478
48	0.3727472549
49	0.3722470164
50	0.3717607786
51	0.371286036
52	0.3708346579
53	0.3704832553
54	0.3700732129
55	0.3697259736
56	0.3694016292
57	0.3691125152
58	0.3687670506
59	0.3685201654
60	0.3682596386
61	0.3679946889
62	0.3677671812
63	0.3675543614
64	0.3673470233
65	0.3671789324
66	0.3669655144
67	0.3668042382
68	0.3666484355
69	0.3664700522
70	0.3663000116
71	0.366139323
72	0.3660011469
73	0.3658053136
74	0.3656622984
75	0.3655292567
76	0.3653961313
77	0.365269092
78	0.3651274707
79	0.3650156393
80	0.3648705353
81	0.3647460993
82	0.3646525326
83	0.3645648928
84	0.3644803214
85	0.3643622429
86	0.3642655437
87	0.3641812709
88	0.3640862067
89	0.3639926777
90	0.3639347698
91	0.3638459167
92	0.3637567716
93	0.3636822153
94	0.3635798719
95	0.363502245
96	0.3634069639
97	0.3633214561
98	0.3632583381
99	0.3631757954
100	0.3631095152
101	0.3630445055
102	0.3629854904
103	0.3629016329
104	0.3628273879
105	0.3627375343
106	0.3626716587
107	0.3626101327
108	0.3625043383
109	0.3624417945
110	0.3623741054
111	0.3623264437
112	0.3622532285
113	0.3621820536
114	0.3621188985
115	0.3620503459
116	0.361963952
117	0.3618938871
118	0.3618236775
119	0.3617789316
120	0.3617262891
121	0.3616784847
